sha	date	primary	class-counts	nfiles	subject	parents
04151c8b5062c6d5f8bf91bb19526649d62a513c	2026-09-17 14:07:48 -0400	DOCS	docs:18	18	docs(v1.6-visual): carry the Visual UX plan set onto the implementation branch	60b2322b29c986aee5d6e543e51e197f8a4e8ccc
8dd21f9436ae98deabb2bbb732a51022a744d6c1	2026-09-17 14:07:48 -0400	PROD	desktop:2	2	feat(v1.6-visual): BATCH 1 â€” Kel design tokens (slate-navy foundation, compact density)	04151c8b5062c6d5f8bf91bb19526649d62a513c
3d9202cd4de064b6c23826988a709610eac979e3	2026-09-17 14:09:33 -0400	PROD	desktop:2	2	fix(v1.6-visual): BATCH 2 â€” Settings shell no longer ejects on Team; Tools shows Tools	8dd21f9436ae98deabb2bbb732a51022a744d6c1
83af16fca140a6a1a6438535f3ca6f7ce3ff3eae	2026-09-17 14:31:12 -0400	PROD	desktop:2	2	feat(v1.6-visual): BATCH 4 â€” transcription adopts the authoritative standalone IA	3d9202cd4de064b6c23826988a709610eac979e3
ac85eb338ef80ad17e72a6491b576d0b7e670f0a	2026-09-18 00:14:03 -0400	PROD	desktop:2+test:1	3	fix(v1.6-visual): BATCH 5 â€” sidebar rows reserve the action gutter; redundant leading mark hidden	83af16fca140a6a1a6438535f3ca6f7ce3ff3eae
c4ae724438d8608d3dd7f1c4abe0a778d6cb30a3	2026-09-18 09:07:31 -0400	DOCS	docs:3	3	docs(v1.6): Phase 5.6 remediation record + delta re-audit request (ba52869..8a2b25d)	8a2b25db588f82153f1433a46f107ef184017d76
5127bacca293f9a483167665506eb434e8c4f1ca	2026-09-18 09:12:35 -0400	DOCS	docs:5	5	docs(v1.6): Phase 5.6 accepted - audit 24 CONTINUE; Phase 5.7/5.8 decisions deferred	c4ae724438d8608d3dd7f1c4abe0a778d6cb30a3
fd98cc402b98acf9a230fb160e4766f7f5f931f3	2026-09-18 09:14:17 -0400	DOCS	docs:1	1	docs(v1.6): record the published integration tip (5127bac); visual slice complete	5127bacca293f9a483167665506eb434e8c4f1ca
785df71d9ce189907b2240023c24fa04f314ebc5	2026-09-18 12:09:41 -0400	PROD	docs:25+meta:1	26	docs(v1.6): Campaign A entry â€” pre-audit corpus initialized, IMPLEMENTATION_SPRINT mode, baseline 878 green	fd98cc402b98acf9a230fb160e4766f7f5f931f3
22f4a3e7f94dd1a8a1c94961a75e0807a2a4bc94	2026-09-18 12:15:24 -0400	PROD	desktop:2+test:1	3	fix(v1.6): Work-panel knowledge actions follow record state; forget asks first	785df71d9ce189907b2240023c24fa04f314ebc5
